Time  Sample_Point1  Sample_Point2  Sample_Point3  Sample_Point4  Sample_Point5  Sample_Point6
   5        560.35        595.97        598.00        600.06        599.92        580.12
  10        541.04        583.30        591.04        599.45        598.06        564.91
  15        531.19        571.58        583.50        597.09        594.46        555.94
  20        525.18        562.15        576.39        593.31        590.04        549.86
  25        521.09        554.55        569.87        588.81        585.31        545.34
  30        518.11        548.32        563.94        584.03        580.53        541.75
  35        515.81        543.10        558.55        579.25        575.88        538.73
  40        513.96        538.66        553.65        574.61        571.41        536.09
  45        512.43        534.82        549.21        570.17        567.17        533.72
  50        511.14        531.49        545.18        565.95        563.17        531.57
  55        510.03        528.56        541.52        561.96        559.39        529.59
  60        509.07        525.97        538.18        558.19        555.84        527.75
  65        508.23        523.68        535.15        554.64        552.51        526.05
  70        507.49        521.63        532.39        551.30        549.37        524.46
  75        506.83        519.80        529.88        548.16        546.43        522.97
  80        506.25        518.16        527.58        545.20        543.67        521.59
  85        505.72        516.68        525.48        542.42        541.08        520.29
  90        505.26        515.34        523.57        539.82        538.64        519.08
  95        504.83        514.13        521.81        537.37        536.36        517.95
 100        504.45        513.04        520.21        535.08        534.21        516.88
 105        504.11        512.04        518.73        532.92        532.20        515.89
 110        503.80        511.14        517.38        530.90        530.30        514.95
 115        503.52        510.31        516.14        529.01        528.52        514.08
 120        503.26        509.56        515.00        527.23        526.85        513.26
 125        503.03        508.87        513.95        525.57        525.29        512.49
 130        502.81        508.24        512.98        524.02        523.81        511.77
 135        502.62        507.66        512.09        522.55        522.43        511.10
 140        502.44        507.13        511.28        521.19        521.13        510.46
 145        502.27        506.65        510.52        519.91        519.92        509.87
 150        502.13        506.20        509.83        518.72        518.77        509.31
 155        501.99        505.79        509.18        517.60        517.70        508.78
 160        501.86        505.42        508.59        516.55        516.69        508.29
 165        501.74        505.07        508.04        515.57        515.74        507.83
 170        501.64        504.75        507.53        514.65        514.85        507.40
 175        501.54        504.46        507.06        513.80        514.02        506.99
 180        501.45        504.18        506.63        512.99        513.23        506.61
 185        501.37        503.94        506.23        512.25        512.50        506.25
 190        501.29        503.70        505.85        511.54        511.81        505.92
 195        501.22        503.49        505.51        510.89        511.16        505.60
 200        501.15        503.29        505.19        510.27        510.55        505.30
 205        501.09        503.11        504.89        509.70        509.99        505.03
 210        501.04        502.94        504.62        509.16        509.45        504.76
 215        500.99        502.78        504.37        508.66        508.95        504.52
 220        500.94        502.64        504.13        508.19        508.48        504.29
 225        500.89        502.50        503.91        507.76        508.04        504.07
 230        500.85        502.38        503.71        507.34        507.62        503.87
 235        500.81        502.26        503.52        506.96        507.23        503.68
 240        500.78        502.16        503.34        506.60        506.87        503.50
 245        500.75        502.06        503.18        506.27        506.53        503.33
 250        500.72        501.96        503.03        505.95        506.21        503.17
 255        500.69        501.88        502.89        505.66        505.91        503.02
 260        500.66        501.80        502.76        505.39        505.63        502.88
 265        500.64        501.72        502.63        505.13        505.36        502.75
 270        500.61        501.66        502.52        504.89        505.11        502.63
 275        500.59        501.59        502.42        504.67        504.88        502.51
 280        500.57        501.53        502.32        504.46        504.66        502.41
 285        500.56        501.48        502.23        504.26        504.46        502.30
 290        500.54        501.43        502.14        504.08        504.27        502.21
 295        500.52        501.38        502.06        503.91        504.09        502.12
 300        500.51        501.33        501.99        503.75        503.92        502.04
 305        500.50        501.30        501.92        503.60        503.76        501.96
 310        500.48        501.26        501.86        503.46        503.61        501.88
 315        500.47        501.22        501.80        503.33        503.47        501.81
 320        500.46        501.19        501.74        503.21        503.34        501.75
 325        500.45        501.16        501.69        503.09        503.22        501.69
 330        500.44        501.13        501.64        502.98        503.11        501.63
 335        500.43        501.10        501.60        502.88        503.00        501.58
 340        500.42        501.08        501.56        502.79        502.90        501.53
 345        500.42        501.05        501.52        502.70        502.80        501.48
 350        500.41        501.03        501.48        502.62        502.72        501.43
 355        500.40        501.01        501.45        502.54        502.63        501.39
 360        500.40        500.99        501.42        502.47        502.56        501.35
 365        500.39        500.97        501.39        502.40        502.48        501.31
 370        500.39        500.96        501.36        502.34        502.42        501.28
 375        500.38        500.94        501.33        502.28        502.35        501.25
 380        500.38        500.93        501.31        502.23        502.29        501.22
 385        500.37        500.92        501.29        502.18        502.24        501.19
 390        500.37        500.90        501.27        502.13        502.18        501.16
 395        500.36        500.89        501.25        502.08        502.14        501.14
 400        500.36        500.88        501.23        502.04        502.09        501.11
 405        500.36        500.87        501.21        502.00        502.05        501.09
 410        500.36        500.86        501.20        501.97        502.00        501.07
 415        500.35        500.85        501.18        501.93        501.97        501.05
 420        500.35        500.85        501.17        501.90        501.93        501.03
 425        500.35        500.84        501.16        501.87        501.90        501.02
 430        500.35        500.83        501.15        501.84        501.87        501.00
 435        500.34        500.82        501.13        501.82        501.84        500.99
 440        500.34        500.82        501.12        501.79        501.81        500.97
 445        500.34        500.81        501.11        501.77        501.78        500.96
 450        500.34        500.81        501.11        501.74        501.76        500.95
 455        500.33        500.80        501.10        501.72        501.74        500.93
 460        500.33        500.80        501.09        501.71        501.72        500.92
 465        500.33        500.79        501.08        501.69        501.70        500.91
 470        500.33        500.79        501.07        501.67        501.68        500.90
 475        500.33        500.78        501.07        501.66        501.66        500.89
 480        500.33        500.78        501.06        501.64        501.64        500.88
 485        500.33        500.78        501.06        501.63        501.63        500.88
 490        500.33        500.77        501.05        501.62        501.61        500.87
 495        500.33        500.77        501.05        501.60        501.60        500.86
 500        500.32        500.77        501.04        501.59        501.59        500.86
 505        500.32        500.77        501.04        501.58        501.58        500.85
 510        500.32        500.76        501.03        501.57        501.56        500.84
 515        500.32        500.76        501.03        501.56        501.55        500.84
 520        500.32        500.76        501.03        501.55        501.54        500.83
 525        500.32        500.76        501.02        501.55        501.53        500.83
 530        500.32        500.76        501.02        501.54        501.53        500.82
 535        500.32        500.75        501.02        501.53        501.52        500.82
 540        500.32        500.75        501.01        501.52        501.51        500.82
 545        500.32        500.75        501.01        501.52        501.50        500.81
